Logistic_Recall,Logistic_Precision,Tree_Recall,Tree_Precision
0.9995722840034217,0.24230171073094867,,
0.9995722840034217,0.242326835338034,,
0.9995722840034217,0.24235196515607177,,
0.9995722840034217,0.24237710018668326,,
0.9995722840034217,0.2424022404314905,,
0.9995722840034217,0.24242738589211618,,
0.9995722840034217,0.24245253657018362,,
0.9995722840034217,0.24247769246731687,,
0.9995722840034217,0.2425028535851406,,
0.9995722840034217,0.2425280199252802,,
0.9995722840034217,0.2425531914893617,,
0.9995722840034217,0.24257836827901183,,
0.9995722840034217,0.24260355029585798,,
0.9995722840034217,0.24262873754152825,,
0.9995722840034217,0.24265393001765134,,
0.9995722840034217,0.2426791277258567,,
0.9995722840034217,0.24270433066777444,,
0.9995722840034217,0.24272953884503531,,
0.9995722840034217,0.2427547522592708,,
0.9995722840034217,0.24277997091211304,,
0.9995722840034217,0.2428051948051948,,
0.9995722840034217,0.24283042394014961,,
0.9995722840034217,0.24285565831861167,,
0.9995722840034217,0.24288089794221576,,
0.9995722840034217,0.24290614281259745,,
0.9995722840034217,0.24293139293139293,,
0.9995722840034217,0.2429566483002391,,
0.9995722840034217,0.24298190892077354,,
0.9995722840034217,0.2430071747946345,,
0.9995722840034217,0.2430324459234609,,
0.9995722840034217,0.24305772230889236,,
0.9995722840034217,0.24308300395256918,,
0.9995722840034217,0.2431082908561323,,
0.9995722840034217,0.24313358302122348,,
0.9995722840034217,0.24315888044948497,,
0.9995722840034217,0.24318418314255982,,
0.9995722840034217,0.24320949110209178,,
0.9995722840034217,0.24323480432972522,,
0.9995722840034217,0.24326012282710524,,
0.9995722840034217,0.24328544659587759,,
0.9995722840034217,0.24331077563768871,,
0.9995722840034217,0.24333610995418575,,
0.9995722840034217,0.24336144954701655,,
0.9995722840034217,0.24338679441782962,,
0.9995722840034217,0.24341214456827415,,
0.9995722840034217,0.2434375,,
0.9995722840034217,0.24346286071465778,,
0.9995722840034217,0.24348822671389872,,
0.9995722840034217,0.2435135979993748,,
0.9995722840034217,0.24353897457273865,,
0.9995722840034217,0.24356435643564356,,
0.9995722840034217,0.24358974358974358,,
0.9995722840034217,0.24361513603669344,,
0.9995722840034217,0.24364053377814845,,
0.9995722840034217,0.2436659368157648,,
0.9995722840034217,0.24369134515119917,,
0.9995722840034217,0.24371675878610907,,
0.9995722840034217,0.2437421777221527,,
0.9995722840034217,0.24376760196098884,,
0.9995722840034217,0.24379303150427706,,
0.9995722840034217,0.24381846635367763,,
0.9995722840034217,0.24384390651085142,,
0.9995722840034217,0.2438693519774601,,
0.9995722840034217,0.24389480275516592,,
0.9995722840034217,0.24392025884563198,,
0.9995722840034217,0.2439457202505219,,
0.9995722840034217,0.24397118697150016,,
0.9995722840034217,0.2439966590102318,,
0.9995722840034217,0.24402213636838258,,
0.9995722840034217,0.24404761904761904,,
0.9995722840034217,0.24407310704960836,,
0.9995722840034217,0.24409860037601838,,
0.9995722840034217,0.2441240990285177,,
0.9995722840034217,0.24414960300877558,,
0.9995722840034217,0.24417511231846203,,
0.9995722840034217,0.24420062695924766,,
0.9995722840034217,0.24422614693280384,,
0.9995722840034217,0.2442516722408027,,
0.9995722840034217,0.2442772028849169,,
0.9995722840034217,0.24430273886682,,
0.9995722840034217,0.2443282801881861,,
0.9995722840034217,0.2443538268506901,,
0.9995722840034217,0.24437937885600752,,
0.9995722840034217,0.2444049362058147,,
0.9995722840034217,0.24443049890178853,,
0.9995722840034217,0.2444560669456067,,
0.9995722840034217,0.2444816403389476,,
0.9995722840034217,0.24450721908349027,,
0.9995722840034217,0.24453280318091453,,
0.9995722840034217,0.2445583926329008,,
0.9995722840034217,0.2445839874411303,,
0.9995722840034217,0.2446095876072849,,
0.9995722840034217,0.2446351931330472,,
0.9995722840034217,0.24466080402010051,,
0.9995722840034217,0.2446864202701288,,
0.9995722840034217,0.24471204188481677,,
0.9995722840034217,0.24473766886584983,,
0.9995722840034217,0.24476330121491413,,
0.9995722840034217,0.24478893893369644,,
0.9995722840034217,0.24481458202388434,,
0.9995722840034217,0.24486588432523052,,
0.9995722840034217,0.24489154353976736,,
0.9995722840034217,0.24491720813246698,,
0.9995722840034217,0.24494287810502044,,
0.9995722840034217,0.2449685534591195,,
0.9995722840034217,0.24499423419645666,,
0.9995722840034217,0.2450199203187251,,
0.9995722840034217,0.24504561182761875,,
0.9995722840034217,0.2450713087248322,,
0.9995722840034217,0.24509701101206083,,
0.9995722840034217,0.24512271869100064,,
0.9995722840034217,0.24514843176334836,,
0.9995722840034217,0.24517415023080152,,
0.9995722840034217,0.24519987409505822,,
0.9995722840034217,0.24522560335781743,,
0.9995722840034217,0.24525133802077867,,
0.9995722840034217,0.2452770780856423,,
0.9995722840034217,0.24530282355410937,,
0.9995722840034217,0.24532857442788158,,
0.9995722840034217,0.24535433070866142,,
0.9995722840034217,0.24538009239815203,,
0.9995722840034217,0.24540585949805732,,
0.9995722840034217,0.24543163201008192,,
0.9995722840034217,0.2454574099359311,,
0.9995722840034217,0.2454831932773109,,
0.9995722840034217,0.24550898203592814,,
0.9995722840034217,0.24553477621349024,,
0.9995722840034217,0.24556057581170537,,
0.9995722840034217,0.24558638083228246,,
0.9995722840034217,0.24561219127693115,,
0.9995722840034217,0.24563800714736178,,
0.9995722840034217,0.2456638284452854,,
0.9995722840034217,0.24568965517241378,,
0.9995722840034217,0.24571548733045948,,
0.9995722840034217,0.24574132492113565,,
0.9995722840034217,0.24576716794615627,,
0.9995722840034217,0.245793016407236,,
0.9995722840034217,0.24581887030609026,,
0.9995722840034217,0.2458447296444351,,
0.9995722840034217,0.24587059442398737,,
0.9995722840034217,0.24589646464646464,,
0.9995722840034217,0.24592234031358517,,
0.9995722840034217,0.245948221427068,,
0.9995722840034217,0.24597410798863278,,
0.9995722840034217,0.246,,
0.9995722840034217,0.24602589746289083,,
0.9995722840034217,0.24605180037902716,,
0.9995722840034217,0.24607770875013163,,
0.9995722840034217,0.24610362257792756,,
0.9995722840034217,0.24612954186413902,,
0.9995722840034217,0.24615546661049084,,
0.9995722840034217,0.24618139681870851,,
0.9995722840034217,0.24620733249051832,,
0.9995722840034217,0.24623327362764724,,
0.9995722840034217,0.24625922023182298,,
0.9995722840034217,0.24628517230477395,,
0.9995722840034217,0.24631112984822934,,
0.9995722840034217,0.24633709286391905,,
0.9995722840034217,0.2463630613535737,,
0.9995722840034217,0.24638903531892462,,
0.9995722840034217,0.2464150147617039,,
0.9995722840034217,0.2464409996836444,,
0.9995722840034217,0.24646699008647965,,
0.9995722840034217,0.24649298597194388,,
0.9995722840034217,0.24651898734177216,,
0.9995722840034217,0.24654499419770018,,
0.9995722840034217,0.24657100654146444,,
0.9995722840034217,0.24659702437480216,,
0.9995722840034217,0.24662304769945126,,
0.9995722840034217,0.2466490765171504,,
0.9995722840034217,0.246675110829639,,
0.9995722840034217,0.24670115063865725,,
0.9995722840034217,0.24672719594594594,,
0.9995722840034217,0.24675324675324675,,
0.9995722840034217,0.246779303062302,,
0.9995722840034217,0.2468053648748548,,
0.9995722840034217,0.24683143219264891,,
0.9995722840034217,0.24685750501742895,,
0.9995722840034217,0.2468835833509402,,
0.9995722840034217,0.24690966719492868,,
0.9995722840034217,0.24693575655114117,,
0.9995722840034217,0.24696185142132515,,
0.9995722840034217,0.2469879518072289,,
0.9995722840034217,0.24701405771060142,,
0.9995722840034217,0.24704016913319238,,
0.9995722840034217,0.2470662860767523,,
0.9995722840034217,0.24709240854303235,,
0.9995722840034217,0.2471185365337845,,
0.9995722840034217,0.24714467005076143,,
0.9995722840034217,0.24717080909571656,,
0.9995722840034217,0.24719695367040406,,
0.9995722840034217,0.24722310377657886,,
0.9995722840034217,0.24724925941599663,,
0.9995722840034217,0.2472754205904137,,
0.9995722840034217,0.2473015873015873,,
0.9995722840034217,0.24732775955127526,,
0.9995722840034217,0.24735393734123623,,
0.9995722840034217,0.2473801206732296,,
0.9995722840034217,0.24740630954901546,,
0.9995722840034217,0.24743250397035468,,
0.9995722840034217,0.2474587039390089,,
0.9995722840034217,0.24748490945674045,,
0.9995722840034217,0.24751112052531243,,
0.9995722840034217,0.2475373371464887,,
0.9995722840034217,0.2475635593220339,,
0.9995722840034217,0.24758978705371332,,
0.9995722840034217,0.24761602034329308,,
0.9995722840034217,0.24764225919254002,,
0.9995722840034217,0.2476685036032217,,
0.9995722840034217,0.24769475357710652,,
0.9995722840034217,0.24772100911596354,,
0.9995722840034217,0.2477472702215626,,
0.9995722840034217,0.2477735368956743,,
0.9995722840034217,0.24779980914007,,
0.9995722840034217,0.24782608695652175,,
0.9995722840034217,0.2478523703468024,,
0.9995722840034217,0.24787865931268563,,
0.9995722840034217,0.2479049538559457,,
0.9995722840034217,0.24793125397835775,,
0.9995722840034217,0.2479575596816976,,
0.9995722840034217,0.24798387096774194,,
0.9995722840034217,0.24801018783826806,,
0.9995722840034217,0.24803651029505414,,
0.9995722840034217,0.248062838339879,,
0.9995722840034217,0.2480891719745223,,
0.9995722840034217,0.24811551120076442,,
0.9995722840034217,0.2481418560203865,,
0.9995722840034217,0.24816820643517043,,
0.9995722840034217,0.2481945624468989,,
0.9995722840034217,0.2482209240573553,,
0.9995722840034217,0.24824729126832376,,
0.9995722840034217,0.2482736640815893,,
0.9995722840034217,0.24830004249893753,,
0.9995722840034217,0.24832642652215492,,
0.9995722840034217,0.2483528161530287,,
0.9995722840034217,0.2483792113933468,,
0.9995722840034217,0.24840561224489796,,
0.9995722840034217,0.24843201870947168,,
0.9995722840034217,0.24845843078885818,,
0.9995722840034217,0.24848484848484848,,
0.9995722840034217,0.24851127179923438,,
0.9995722840034217,0.24853770073380835,,
0.9995722840034217,0.24856413529036375,,
0.9995722840034217,0.2485905754706946,,
